id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1082591,Hyderabad,05-04-2017,Yuvraj Singh,venue,0,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,35.0,N,,AY Dandekar,NJ Llong
1082592,Pune,06-04-2017,SPD Smith,venue,0,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,N,,A Nand Kishore,S Ravi
1082593,Rajkot,07-04-2017,CA Lynn,venue,0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10.0,N,,Nitin Menon,CK Nandan
1082594,Indore,08-04-2017,GJ Maxwell,venue,0,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,,AK Chaudhary,C Shamshuddin
1082595,Bengaluru,08-04-2017,KM Jadhav,venue,0,Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,15.0,N,,S Ravi,VK Sharma
1082596,Hyderabad,09-04-2017,Rashid Khan,venue,0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,N,,A Deshmukh,NJ Llong
1082597,Mumbai,09-04-2017,N Rana,venue,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4.0,N,,Nitin Menon,CK Nandan
1082598,Indore,10-04-2017,AR Patel,venue,0,Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Kings XI Punjab,wickets,8.0,N,,AK Chaudhary,C Shamshuddin
1082599,Pune,11-04-2017,SV Samson,venue,0,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,runs,97.0,N,,AY Dandekar,S Ravi
1082600,Mumbai,12-04-2017,JJ Bumrah,venue,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4.0,N,,Nitin Menon,CK Nandan
1082601,Kolkata,13-04-2017,SP Narine,venue,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,N,,A Deshmukh,NJ Llong
1082602,Bengaluru,14-04-2017,KA Pollard,venue,0,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4.0,N,,KN Ananthapadmanabhan,AK Chaudhary
1082603,Rajkot,14-04-2017,AJ Tye,venue,0,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,wickets,7.0,N,,A Nand Kishore,S Ravi
1082604,Kolkata,15-04-2017,RV Uthappa,venue,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,17.0,N,,AY Dandekar,NJ Llong
1082605,Delhi,15-04-2017,CJ Anderson,venue,0,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,runs,51.0,N,,YC Barde,Nitin Menon
1082606,Mumbai,16-04-2017,N Rana,venue,0,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6.0,N,,A Nand Kishore,S Ravi
1082607,Bengaluru,16-04-2017,BA Stokes,venue,0,Royal Challengers Bengaluru,Rising Pune Supergiant,Royal Challengers Bengaluru,field,Rising Pune Supergiant,runs,27.0,N,,KN Ananthapadmanabhan,C Shamshuddin
1082608,Delhi,17-04-2017,NM Coulter-Nile,venue,0,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,wickets,4.0,N,,Nitin Menon,CK Nandan
1082609,Hyderabad,17-04-2017,B Kumar,venue,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,5.0,N,,AY Dandekar,A Deshmukh
1082610,Rajkot,18-04-2017,CH Gayle,venue,0,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,field,Royal Challengers Bengaluru,runs,21.0,N,,S Ravi,VK Sharma
1082611,Hyderabad,19-04-2017,KS Williamson,venue,0,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15.0,N,,CB Gaffaney,NJ Llong
1082612,Indore,20-04-2017,JC Buttler,venue,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,N,,M Erasmus,C Shamshuddin
1082613,Kolkata,21-04-2017,SK Raina,venue,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,4.0,N,,CB Gaffaney,Nitin Menon
1082614,Mumbai,22-04-2017,MJ McClenaghan,venue,0,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,14.0,N,,A Nand Kishore,S Ravi
1082615,Pune,22-04-2017,MS Dhoni,venue,0,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,6.0,N,,AY Dandekar,A Deshmukh
1082616,Rajkot,23-04-2017,HM Amla,venue,0,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,26.0,N,,AK Chaudhary,M Erasmus
1082617,Kolkata,23-04-2017,NM Coulter-Nile,venue,0,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,82.0,N,,CB Gaffaney,CK Nandan
1082618,Mumbai,24-04-2017,BA Stokes,venue,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,3.0,N,,A Nand Kishore,S Ravi
1082620,Pune,26-04-2017,RV Uthappa,venue,0,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,N,,AY Dandekar,NJ Llong
